Successful function calls:
'340-Kearny-05-EID-English' created: /vmrest/handlers/callhandlers/f8736692-d3d4-421d-b872-c12744d5463f
'340-Kearny-04-EID-Spanish' created: /vmrest/handlers/callhandlers/932edb6e-6acd-4049-8082-52640ff010a4
'340-Kearny-09-Departments-English' created: /vmrest/handlers/callhandlers/041778b4-5a65-4c6c-a65b-3928f64034c3
'340-Kearny-09-Departments-Spanish' created: /vmrest/handlers/callhandlers/46e44466-f5ae-445f-b0fd-bab25bc3208d
'340-Kearny-05-EID-Spanish' created: /vmrest/handlers/callhandlers/1b247d34-1e70-4431-9268-c00c98d84993
'342-UMAA-01-Main_Spanish' created: /vmrest/handlers/callhandlers/c0c71f4e-3542-42b2-9ab1-451ddcc04c77
'342-UMAA-01-Main_English' created: /vmrest/handlers/callhandlers/2b5c594f-b937-4433-ad6a-96fdd3d94eda
'342-Attendance Sub Menu English' created: /vmrest/handlers/callhandlers/53e6fada-8068-4def-a5aa-48b0126e3c1d
'342-Attendance Sub Menu Spanish' created: /vmrest/handlers/callhandlers/de229e79-41dc-4d72-a11c-f0315efa1842
'169-UMAA-01-Main_Spanish' created: /vmrest/handlers/callhandlers/3855d3b1-10f5-4852-8d82-14fd917552b2
'169-UMAA-01-Main_English' created: /vmrest/handlers/callhandlers/73cdcdea-67fb-42fa-9cb7-40bef31e671e
'342-UMAA-Summer-English' created: /vmrest/handlers/callhandlers/161bbbf0-3a77-46ff-9544-ba8fdbbdfea3
'342-UMAA-05-Associate-Principal-English' created: /vmrest/handlers/callhandlers/563dba96-0d8a-4593-801d-856f7f72fdf2
'173-UMAA-02-Main_Spanish' created: /vmrest/handlers/callhandlers/827271fd-8518-4f38-a07c-433120fc8a73
'173-UMAA-04-Main_Spanish_Night' created: /vmrest/handlers/callhandlers/b6342a02-7002-4709-a9bf-1bc0d9d01dcf
'173-UMAA-03-Main_English_Night' created: /vmrest/handlers/callhandlers/2e43b798-7597-4a23-9eb3-aa57cedd7aa2
'173-UMAA-01-Main_English' created: /vmrest/handlers/callhandlers/35343d07-76c8-4992-afc4-df64eabf2281
'181-UMAA-01-Main_English' created: /vmrest/handlers/callhandlers/af415938-7e22-4dd8-a4a5-52e8c6af50ab
'346-UMMA-Summer-English-2021' created: /vmrest/handlers/callhandlers/14a04a4b-93d0-4dd7-925c-9cd6b22c1989
'346-UMMA-Winter-Spanish-2021' created: /vmrest/handlers/callhandlers/38c48b7c-d2e9-49bd-935f-04f7d50d46b5
'346-UMAA-04-Main_Spanish' created: /vmrest/handlers/callhandlers/1b32a08a-5730-4e3c-a201-49db6abd765f
'346-UMAA-01-Main_English' created: /vmrest/handlers/callhandlers/bf30dd33-4fa4-44b4-ba67-c1e3dd71f4dc
'346-UMAA-03-Main_English_Night' created: /vmrest/handlers/callhandlers/0af715da-7584-45de-a402-a995851b69b7
'346-UMAA-04-Main_Spanish_Night' created: /vmrest/handlers/callhandlers/4fcd4067-e374-4bcc-8874-ebeefb9c51f1
'313-UMAA-01-Main_English' created: /vmrest/handlers/callhandlers/eaebba75-f251-4dc8-a29d-1ecbad032a42
'313-UMAA-01-Main_Spanish' created: /vmrest/handlers/callhandlers/014011e3-d12f-4c17-8552-758bb62438c1
'313-UMAA-Summer-English-Spanish-2021' created: /vmrest/handlers/callhandlers/f2343d18-1a46-433a-a175-29e06af4e78a
'313-UMAA-Summer-Spanish-2021' created: /vmrest/handlers/callhandlers/11750b70-fca8-42fa-87be-6c64a2b6435b
'350-UMAA-01-Main_English' created: /vmrest/handlers/callhandlers/86399868-91ac-4884-9eb7-b1981cd4c8bc
'350-UMAA-02-Main_Spanish' created: /vmrest/handlers/callhandlers/c2ecc64a-59e9-420d-9a97-2176d7e88e00
'350-MissionBayHS-Spanish-part1' created: /vmrest/handlers/callhandlers/31a0ee4b-23a2-4d5a-9860-da5632cc9aea
'350-MissionBayHS-English-part2' created: /vmrest/handlers/callhandlers/3c9ee4e2-9d12-4d43-8cd4-708ac43b8de8
