Successful function calls:
'161-UMAA-01-Main_English' created: /vmrest/handlers/callhandlers/a6249035-de31-4049-b591-27583f5ff0fa
'161-UMAA-02-Main_Spanish' created: /vmrest/handlers/callhandlers/68f6cf97-4e5a-48fc-a68f-74bd833b4513
'161-UMAA-03-Main_English_Night' created: /vmrest/handlers/callhandlers/4eef89a8-4bba-4ad4-b788-c0393db66066
'161-UMAA-04-Main_Spanish_Night' created: /vmrest/handlers/callhandlers/bd8f1662-42ae-44d9-b801-1ad8e0173f0a
'162-UMAA-02-Main_Spanish' created: /vmrest/handlers/callhandlers/7772ea92-80d4-457c-a53b-bf59f5d8f9fc
'162-UMAA-03-Main_English_Night' created: /vmrest/handlers/callhandlers/9e79766a-4a40-49c1-87e1-0921d4054736
'162-UMAA-01-Main_English' created: /vmrest/handlers/callhandlers/794fe734-a193-4ae2-9554-e6259e983844
'162-UMAA-04-Main_Spanish_Night' created: /vmrest/handlers/callhandlers/0135e8f5-1382-4602-ab4f-4d20702ab0eb
'165-UMAA-03-Main_English_Night' created: /vmrest/handlers/callhandlers/f2cb8a27-7ee0-47f1-9d0f-a19fc97f88fa
'165-UMAA-04-Main_Spanish_Night' created: /vmrest/handlers/callhandlers/d3bad387-450e-40cf-a00c-da24143cce0e
'165-UMAA-01-Main_English' created: /vmrest/handlers/callhandlers/a1d74db2-84a8-4aee-8121-4aec099858c3
'165-UMAA-02-Main_Spanish' created: /vmrest/handlers/callhandlers/4fba2784-33d0-44d5-a6f1-889f3052b5b6
'166-UMAA-01-Main_English' created: /vmrest/handlers/callhandlers/2a962a45-3400-43b9-9daf-06dfb57d7be7
'167-UMAA-02-Main_Spanish' created: /vmrest/handlers/callhandlers/55c03f21-418f-4d46-870d-7470c4632db9
'167-UMAA-03-Main_English_Night' created: /vmrest/handlers/callhandlers/3f93f945-3f70-47ce-b828-9698326111c6
'167-UMAA-04-Main_Spanish_Night' created: /vmrest/handlers/callhandlers/8710d0b6-6f23-47aa-92b5-a8764fbe6e92
'167-UMAA-01-Main_English' created: /vmrest/handlers/callhandlers/68481da1-a8db-4374-bf19-29e01af69c1d
'170-UMAA-01-Main_English' created: /vmrest/handlers/callhandlers/b7d3ed24-9818-4082-ba90-4c3d03a5f3f6
'170-UMAA-02-Main_English' created: /vmrest/handlers/callhandlers/3c4f664d-d603-48f2-af52-4befd3565524
'170-UMAA-06-Counseling-English' created: /vmrest/handlers/callhandlers/24f4d1fa-bc41-4514-af21-f30f1df32cfa
